t,pitch,joint1,joint2,d_pitch,vel_j1,vel_j2
0.0,0.18558,-0.18558,0.0,0.0,0.0,0.0
0.001,0.18558000001466346,-0.18558000002957922,1.9661213892383724e-11,2.9326915396736178e-8,-5.915791168027625e-8,3.93211424326896e-8
0.002,0.1855800003136243,-0.1855800371526347,9.997308831075674e-8,5.685887118790462e-7,-7.418507424544249e-5,0.00019986187018457917
0.003,0.18557998234207304,-0.18557441368778302,-1.734267450269224e-5,-3.6509358947852025e-5,0.01132079542850634,-0.035084181257334646
0.004,0.18557998412132093,-0.18557045765476674,-3.119314382621459e-5,4.006715114123163e-5,-0.003408970276818214,0.007384002813395401
0.005,0.1855800073664062,-0.18556871357810606,-3.976043465744549e-5,6.4239080607146794e-6,0.006896980959324265,-0.02451812360123915
0.006,0.18558005303920508,-0.1855695081260839,-4.202334202526593e-5,8.492140509662477e-5,-0.008486096579560834,0.01999240729920686
0.007,0.1855801212172486,-0.18557290946088226,-3.775635739124237e-5,5.143377168925729e-5,0.0016835330146985265,-0.011458713035353242
0.008,0.1855802110657605,-0.18557871831939832,-2.7557333977781673e-5,0.00012826346669540806,-0.013301033178345755,0.031856148355816044
0.009000000000000001,0.18558032091634907,-0.1855864919278332,-1.2773496676470694e-5,9.143520460606144e-5,-0.0022458715256504754,-0.0022893547489898
0.010000000000000002,0.185580448442905,-0.1855955978106026,4.665097024636694e-6,0.0001636181985053096,-0.01596553410508163,0.037165511003962697
0.011000000000000003,0.18558059091312057,-0.18560529083719426,2.248403974224892e-5,0.00012131894767483785,-0.003420137893263565,-0.0015286936492490048
0.012000000000000004,0.18558074548507217,-0.18561480402894526,3.8345644928751584e-5,0.00018782488878050664,-0.015605901011772552,0.03325094376288842
0.013000000000000005,0.1855809095122551,-0.1856234418923446,5.0137830999462e-5,0.00014022674053855834,-0.001669542451664588,-0.00966731869704098
0.014000000000000005,0.18558108081977606,-0.18563066479700943,5.62352577641399e-5,0.00020238778877585575,-0.01277608554699926,0.021861739282852854
0.015000000000000006,0.18558125791737243,-0.18563615395996727,5.570040563220276e-5,0.00015180636297623787,0.001797828264076545,-0.022931515490306576
0.016000000000000007,0.18558144012319108,-0.18563984904529857,4.839984490810943e-5,0.00021260438058469822,-0.009188047309880286,0.008330691934253547
0.017000000000000008,0.18558162758287258,-0.18564195372806638,3.502130657264893e-5,0.00016231575477866007,0.004978525194829953,-0.035087135168337204
0.01800000000000001,0.18558182118195754,-0.18564290854819718,1.698945450212979e-5,0.0002248811066218986,-0.006888396455075389,-0.0009756874068178856
0.01900000000000001,0.18558202236257273,-0.18564333441381672,-3.709226155839144e-6,0.00017748170996907878,0.006036384098179606,-0.04042064322405374
0.02000000000000001,0.18558223286757133,-0.18564395372128742,-2.4770865580580104e-5,0.0002435266206637746,-0.007275275196178649,-0.001701597457941559
0.02100000000000001,0.1855824544439833,-0.18564549885190007,-4.3857737053049545e-5,0.00019962726250528383,0.004184771079856628,-0.0364712161020221
0.022000000000000013,0.18558268854282142,-0.1856486193226377,-5.888597138787019e-5,0.0002685687898439291,-0.010425872751996867,0.006415440142520638
0.023000000000000013,0.18558293605236484,-0.18565379907880886,-6.828187106972295e-5,0.0002264499217309792,6.630211643485674e-5,-0.025206861582015037
0.024000000000000014,0.1855831970980944,-0.1856612941234908,-7.117527092854983e-5,0.0002956404320728137,-0.015056328190420768,0.01942007216449581
0.025000000000000015,0.18558347093387137,-0.18567109820080754,-6.750603142250146e-5,0.0002520290257210246,-0.004551640008933525,-0.012081953489815786
0.026000000000000016,0.18558375593816978,-0.1856829407720862,-5.803055467777815e-5,0.0003179790105193403,-0.019133212972339213,0.031032223664832416
0.027000000000000017,0.1855840497158385,-0.1856963175367707,-4.422752376575108e-5,0.0002695727807377079,-0.0076199400579360435,-0.0034270948143320717
0.028000000000000018,0.1855843492935716,-0.1857105497571652,-2.8114467490719905e-5,0.0003295822262139576,-0.02084408851429706,0.03565215040575611
